id_compra,item
JAK0211.58.20200829.0205,CIGARETTE
JAK0211.58.20200829.0217,CIGARETTE
JAK0211.58.20200830.0065,CIGARETTE
JAK0211.58.20200831.0055,CIGARETTE
JAK0211.58.20200831.0056,CIGARETTE
JAK0211.58.20200831.0203,CIGARETTE
JAK0211.58.20200902.0166,CIGARETTE
JAK0211.58.20200902.0236,CIGARETTE
JAK0211.58.20200902.0253,CIGARETTE
JAK0211.58.20200902.0284,CIGARETTE
JAK0211.58.20200907.0218,CIGARETTE
JAK0211.58.20200907.0261,CIGARETTE
JAK0211.58.20200908.0219,CIGARETTE
JAK0211.58.20200908.0240,CIGARETTE
JAK0211.58.20200908.0258,CIGARETTE
JAK0211.58.20200908.0259,CIGARETTE
JAK0211.58.20200909.0056,CIGARETTE
JAK0211.58.20200909.0184,CIGARETTE
JAK0211.58.20200909.0204,CIGARETTE
JAK0211.58.20200910.0015,CIGARETTE
JAK0211.58.20200910.0255,CIGARETTE
JAK0211.58.20200911.0041,CIGARETTE
JAK0211.58.20200911.0110,CIGARETTE
JAK0211.58.20200912.0002,CIGARETTE
JAK0211.58.20200912.0043,CIGARETTE
JAK0211.58.20200912.0099,CIGARETTE
JAK0211.58.20200912.0111,CIGARETTE
JAK0211.58.20200913.0146,CIGARETTE
JAK0211.58.20200914.0101,CIGARETTE
JAK0211.58.20200915.0117,CIGARETTE
JAK0211.58.20200917.0180,CIGARETTE
JAK0211.58.20200918.0065,CIGARETTE
JAK0211.58.20200919.0010,CIGARETTE
JAK0211.58.20200919.0042,CIGARETTE
JAK0211.58.20200920.0004,CIGARETTE
JAK0211.58.20200920.0054,CIGARETTE
JAK0211.58.20200920.0068,CIGARETTE
JAK0211.58.20200920.0113,CIGARETTE
JAK0211.58.20200921.0118,CIGARETTE
JAK0211.58.20200921.0142,CIGARETTE
JAK0211.58.20200922.0140,CIGARETTE
JAK0211.58.20200923.0156,CIGARETTE
JAK0211.58.20200924.0183,CIGARETTE
JAK0211.58.20200925.0220,CIGARETTE
JAK0211.58.20200926.0027,CIGARETTE
JAK0211.58.20200926.0102,CIGARETTE
JAK0211.58.20200926.0112,CIGARETTE
JAK0211.58.20200927.0033,CIGARETTE
JAK0211.58.20200927.0048,CIGARETTE
JAK0211.58.20200927.0053,CIGARETTE
JAK0211.58.20200927.0102,CIGARETTE
JAK0211.58.20200927.0127,CIGARETTE
JAK0211.58.20200928.0125,CIGARETTE
JAK0211.58.20200928.0203,CIGARETTE
JAK0211.58.20200928.0229,CIGARETTE
JAK0211.58.20200929.0125,CIGARETTE
JAK0211.58.20200622.0184,CIGARETTE
JAK0211.58.20200715.0072,CIGARETTE
JAK0211.58.20200716.0089,CIGARETTE
JAK0211.58.20200801.0018,CIGARETTE
JAK0211.58.20200605.0129,CIGARETTE
JAK0211.58.20200609.0091,CIGARETTE
JAK0211.58.20200622.0270,CIGARETTE
JAK0211.58.20200708.0103,CIGARETTE
JAK0211.58.20200710.0235,CIGARETTE
JAK0211.58.20200717.0168,CIGARETTE
JAK0211.58.20200829.0203,CIGARETTE
JAK0211.58.20200913.0162,CIGARETTE
JAK0211.58.20200615.0092,CIGARETTE
JAK0211.58.20200722.0144,CIGARETTE
JAK0211.58.20200724.0172,CIGARETTE
JAK0211.58.20200728.0184,CIGARETTE
JAK0211.58.20200808.0111,CIGARETTE
JAK0211.58.20200910.0259,CIGARETTE
JAK0211.58.20200910.0287,CIGARETTE
JAK0211.58.20200601.0031,CIGARETTE
JAK0211.58.20200601.0035,CIGARETTE
JAK0211.58.20200601.0037,CIGARETTE
JAK0211.58.20200601.0040,CIGARETTE
JAK0211.58.20200601.0043,CIGARETTE
JAK0211.58.20200601.0045,CIGARETTE
JAK0211.58.20200601.0047,CIGARETTE
JAK0211.58.20200601.0059,CIGARETTE
JAK0211.58.20200601.0061,CIGARETTE
JAK0211.58.20200601.0063,CIGARETTE
JAK0211.58.20200601.0065,CIGARETTE
JAK0211.58.20200601.0068,CIGARETTE
JAK0211.58.20200601.0072,CIGARETTE
JAK0211.58.20200601.0075,CIGARETTE
JAK0211.58.20200601.0078,CIGARETTE
JAK0211.58.20200601.0080,CIGARETTE
JAK0211.58.20200601.0103,CIGARETTE
JAK0211.58.20200601.0118,CIGARETTE
JAK0211.58.20200601.0120,CIGARETTE
JAK0211.58.20200601.0123,CIGARETTE
JAK0211.58.20200601.0129,CIGARETTE
JAK0211.58.20200601.0131,CIGARETTE
JAK0211.58.20200601.0134,CIGARETTE
JAK0211.58.20200601.0136,CIGARETTE
JAK0211.58.20200601.0139,CIGARETTE
JAK0211.58.20200601.0146,CIGARETTE
JAK0211.58.20200601.0148,CIGARETTE
JAK0211.58.20200602.0010,CIGARETTE
JAK0211.58.20200602.0050,CIGARETTE
JAK0211.58.20200602.0051,CIGARETTE
JAK0211.58.20200602.0053,CIGARETTE
JAK0211.58.20200602.0056,CIGARETTE
JAK0211.58.20200602.0059,CIGARETTE
JAK0211.58.20200602.0061,CIGARETTE
JAK0211.58.20200602.0065,CIGARETTE
JAK0211.58.20200602.0067,CIGARETTE
JAK0211.58.20200602.0070,CIGARETTE
JAK0211.58.20200602.0072,CIGARETTE
JAK0211.58.20200602.0074,CIGARETTE
JAK0211.58.20200602.0082,CIGARETTE
JAK0211.58.20200602.0085,CIGARETTE
JAK0211.58.20200602.0087,CIGARETTE
JAK0211.58.20200602.0090,CIGARETTE
JAK0211.58.20200602.0092,CIGARETTE
JAK0211.58.20200602.0096,CIGARETTE
JAK0211.58.20200602.0098,CIGARETTE
JAK0211.58.20200602.0100,CIGARETTE
JAK0211.58.20200602.0102,CIGARETTE
JAK0211.58.20200602.0104,CIGARETTE
JAK0211.58.20200602.0110,CIGARETTE
JAK0211.58.20200602.0143,CIGARETTE
JAK0211.58.20200602.0153,CIGARETTE
JAK0211.58.20200602.0158,CIGARETTE
JAK0211.58.20200602.0224,CIGARETTE
JAK0211.58.20200602.0235,CIGARETTE
JAK0211.58.20200602.0239,CIGARETTE
JAK0211.58.20200602.0243,CIGARETTE
JAK0211.58.20200602.0245,CIGARETTE
JAK0211.58.20200602.0248,CIGARETTE
JAK0211.58.20200602.0251,CIGARETTE
JAK0211.58.20200602.0253,CIGARETTE
JAK0211.58.20200602.0255,CIGARETTE
JAK0211.58.20200602.0259,CIGARETTE
JAK0211.58.20200602.0266,CIGARETTE
